file,activities,questions,lessons,badges,size_bytes
supabase/3_ANIOS/99_LOAD_MEDALLAS_3_INICIAL.sql,0,0,0,42,10469
supabase/3_ANIOS/LOAD_3_INICIAL_COMPLETO.sql,1500,1500,30,42,2361560
supabase/3_ANIOS/LOAD_3_INICIAL_COMPLETO_CON_LIMPIEZA.sql,1500,1500,30,43,2361954
supabase/3_ANIOS/LOAD_ART_3_INICIAL_250.sql,250,250,5,0,393298
supabase/3_ANIOS/LOAD_COM_3_INICIAL_250.sql,250,250,5,0,392561
supabase/3_ANIOS/LOAD_CYT_3_INICIAL_250.sql,250,250,5,0,394957
supabase/3_ANIOS/LOAD_MAT_3_INICIAL_250.sql,250,250,5,0,385058
supabase/3_ANIOS/LOAD_PSI_3_INICIAL_250.sql,250,250,5,0,389628
supabase/3_ANIOS/LOAD_PS_3_INICIAL_250.sql,250,250,5,0,395577
supabase/3_ANIOS/RESET_CONTENIDO_3_INICIAL.sql,0,0,0,0,392
supabase/4_ANIOS/99_LOAD_MEDALLAS_4_INICIAL.sql,0,0,0,42,10469
supabase/4_ANIOS/LOAD_4_INICIAL_COMPLETO.sql,1500,1500,30,42,2377634
supabase/4_ANIOS/LOAD_4_INICIAL_COMPLETO_CON_LIMPIEZA.sql,1500,1500,30,43,2378028
supabase/4_ANIOS/LOAD_ART_4_INICIAL_250.sql,250,250,5,0,395267
supabase/4_ANIOS/LOAD_COM_4_INICIAL_250.sql,250,250,5,0,398173
supabase/4_ANIOS/LOAD_CYT_4_INICIAL_250.sql,250,250,5,0,396846
supabase/4_ANIOS/LOAD_MAT_4_INICIAL_250.sql,250,250,5,0,385538
supabase/4_ANIOS/LOAD_PSI_4_INICIAL_250.sql,250,250,5,0,392270
supabase/4_ANIOS/LOAD_PS_4_INICIAL_250.sql,250,250,5,0,399059
supabase/4_ANIOS/RESET_CONTENIDO_4_INICIAL.sql,0,0,0,0,392
supabase/5_ANIOS/99_LOAD_MEDALLAS_5_INICIAL.sql,0,0,0,42,10469
supabase/5_ANIOS/LOAD_5_INICIAL_COMPLETO.sql,1500,1500,30,42,2402556
supabase/5_ANIOS/LOAD_5_INICIAL_COMPLETO_CON_LIMPIEZA.sql,1500,1500,30,43,2402950
supabase/5_ANIOS/LOAD_ART_5_INICIAL_250.sql,250,250,5,0,396643
supabase/5_ANIOS/LOAD_COM_5_INICIAL_250.sql,250,250,5,0,408420
supabase/5_ANIOS/LOAD_CYT_5_INICIAL_250.sql,250,250,5,0,402045
supabase/5_ANIOS/LOAD_MAT_5_INICIAL_250.sql,250,250,5,0,386559
supabase/5_ANIOS/LOAD_PSI_5_INICIAL_250.sql,250,250,5,0,395523
supabase/5_ANIOS/LOAD_PS_5_INICIAL_250.sql,250,250,5,0,402885
supabase/5_ANIOS/RESET_CONTENIDO_5_INICIAL.sql,0,0,0,0,392
supabase/99_LOAD_MEDALLAS_INICIAL_3_4_5.sql,0,0,0,126,30676
supabase/LOAD_INICIAL_3_4_5_COMPLETO.sql,4500,4500,90,126,7141019
supabase/LOAD_INICIAL_3_4_5_COMPLETO_CON_LIMPIEZA.sql,4500,4500,90,129,7141540
supabase/RESET_CONTENIDO_INICIAL_3_4_5.sql,0,0,0,0,519
